neki | Score: 10 | Level: 1 | Dead: 1
sdgf | Score: 4 | Level: 1 | Dead: 1
fds | Score: 11 | Level: 1 | Dead: 1
fas | Score: 15 | Level: 1 | Dead: 1
asf | Score: 12 | Level: 1 | Dead: 1
vc | Score: 10 | Level: 1 | Dead: 1
vxc | Score: 16 | Level: 1 | Dead: 1
fbn | Score: 15 | Level: 1 | Dead: 1
ku | Score: 0 | Level: 1 | Dead: 1
iu | Score: 16 | Level: 1 | Dead: 1
tree | Score: 3 | Level: 1 | Dead: 1
nb | Score: 12 | Level: 1 | Dead: 1
jz7i | Score: 0 | Level: 1 | Dead: 1
joi | Score: 2 | Level: 1 | Dead: 1
